Unnamed: 0,Time,y
190,3/11/2013,2.291
191,4/11/2013,2.4524
192,5/11/2013,2.625
193,6/11/2013,2.9641
194,7/11/2013,3.3811
195,8/11/2013,3.3911000000000002
196,9/11/2013,3.2662
197,10/11/2013,3.4244
198,11/11/2013,3.6033
199,12/11/2013,4.0737
200,13/11/2013,4.202
201,14/11/2013,4.1795
202,15/11/2013,4.402200000000001
203,16/11/2013,4.9211
204,17/11/2013,7.0356
205,18/11/2013,5.8461
206,19/11/2013,5.9083000000000006
207,20/11/2013,7.2242999999999995
208,21/11/2013,7.7144
209,22/11/2013,7.9782
210,23/11/2013,7.7425
211,24/11/2013,7.9911
212,25/11/2013,9.281
213,26/11/2013,10.0196
214,27/11/2013,10.3195
215,28/11/2013,11.319700000000001
216,29/11/2013,11.2943
217,30/11/2013,9.5585
218,1/12/2013,10.4333
219,2/12/2013,10.7828
220,3/12/2013,11.511700000000001
221,4/12/2013,10.451099999999999
222,5/12/2013,8.294500000000001
223,6/12/2013,6.9823
224,7/12/2013,7.9587
225,8/12/2013,8.9319
226,9/12/2013,9.8851
227,10/12/2013,8.7848
228,11/12/2013,8.7326
229,12/12/2013,8.9258
230,13/12/2013,8.726
231,14/12/2013,8.7612
232,15/12/2013,7.0597
233,16/12/2013,6.8212
234,17/12/2013,5.227
235,18/12/2013,6.9196
236,19/12/2013,6.2532000000000005
237,20/12/2013,6.0565999999999995
238,21/12/2013,6.171799999999999
239,22/12/2013,6.7341
240,23/12/2013,6.6558
241,24/12/2013,6.822100000000001
242,25/12/2013,7.619800000000001
243,26/12/2013,7.350700000000001
244,27/12/2013,7.278300000000001
245,28/12/2013,7.4505
246,29/12/2013,7.5613
247,30/12/2013,7.5401
248,31/12/2013,7.7139999999999995
249,1/1/2014,8.0239
250,2/1/2014,8.1872
251,3/1/2014,8.5951
252,4/1/2014,9.3353
253,5/1/2014,9.5329
254,6/1/2014,8.02
255,7/1/2014,8.427200000000001
256,8/1/2014,8.4686
257,9/1/2014,8.684800000000001
258,10/1/2014,9.1395
259,11/1/2014,8.632200000000001
260,12/1/2014,8.412
261,13/1/2014,8.332699999999999
262,14/1/2014,8.609
263,15/1/2014,8.3563
264,16/1/2014,8.1464
265,17/1/2014,8.4
266,18/1/2014,8.7096
267,19/1/2014,8.702
268,20/1/2014,8.6391
269,21/1/2014,8.4559
270,22/1/2014,8.2204
271,23/1/2014,7.970700000000001
272,24/1/2014,8.5361
273,25/1/2014,8.8528
274,26/1/2014,7.7139
275,27/1/2014,8.1251
276,28/1/2014,8.26
277,29/1/2014,8.1903
278,30/1/2014,8.299199999999999
279,31/1/2014,8.325800000000001
280,1/2/2014,8.2537
281,2/2/2014,8.2383
282,3/2/2014,8.2796
283,4/2/2014,8.1191
284,5/2/2014,7.815499999999999
285,6/2/2014,7.124
286,7/2/2014,6.739199999999999
287,8/2/2014,6.829
288,9/2/2014,6.8103
289,10/2/2014,6.721699999999999
290,11/2/2014,6.5172
291,12/2/2014,6.0524000000000004
292,13/2/2014,6.6199
293,14/2/2014,6.5092
294,15/2/2014,6.1663
295,16/2/2014,6.2627
296,17/2/2014,6.266
297,18/2/2014,6.2303
298,19/2/2014,5.5614
299,20/2/2014,5.7416
300,21/2/2014,6.0542
301,22/2/2014,6.0582
302,23/2/2014,5.4632000000000005
303,24/2/2014,5.3871
304,25/2/2014,5.8269
305,26/2/2014,5.7877
306,27/2/2014,5.4925999999999995
307,28/2/2014,5.6561
308,1/3/2014,5.597899999999999
309,2/3/2014,6.6776
310,3/3/2014,6.6678
311,4/3/2014,6.6551
312,5/3/2014,6.6386
313,6/3/2014,6.2915
314,7/3/2014,6.1745
315,8/3/2014,6.3696
316,9/3/2014,6.2779
317,10/3/2014,6.3411
318,11/3/2014,6.321000000000001
319,12/3/2014,6.3814
320,13/3/2014,6.287999999999999
321,14/3/2014,6.3612
322,15/3/2014,6.3111
323,16/3/2014,6.2237
324,17/3/2014,6.148300000000001
325,18/3/2014,6.0988999999999995
326,19/3/2014,5.8877
327,20/3/2014,5.7149
328,21/3/2014,5.650399999999999
329,22/3/2014,5.6127
330,23/3/2014,5.834099999999999
331,24/3/2014,5.8392
332,25/3/2014,5.8083
333,26/3/2014,4.7124
334,27/3/2014,4.9567000000000005
335,28/3/2014,4.9117
336,29/3/2014,4.6027
337,30/3/2014,4.57
338,31/3/2014,4.7838
339,1/4/2014,4.3713999999999995
340,2/4/2014,4.4472000000000005
341,3/4/2014,4.4753
342,4/4/2014,4.6191
343,5/4/2014,4.605
344,6/4/2014,4.4942
345,7/4/2014,4.5309
346,8/4/2014,4.4273
347,9/4/2014,3.6518
348,10/4/2014,4.2095
349,11/4/2014,4.2112
350,12/4/2014,4.1406
351,13/4/2014,4.5879
352,14/4/2014,5.1559
353,15/4/2014,5.2739
354,16/4/2014,4.9596
355,17/4/2014,4.7964
356,18/4/2014,5.0156
357,19/4/2014,4.9817
358,20/4/2014,4.9577
359,21/4/2014,4.8792
360,22/4/2014,4.913
361,23/4/2014,5.0046
362,24/4/2014,4.6145
363,25/4/2014,4.586
364,26/4/2014,4.3639
365,27/4/2014,4.4029
366,28/4/2014,4.4721
367,29/4/2014,4.4764
368,30/4/2014,4.5776
369,1/5/2014,4.4938
370,2/5/2014,4.3776
371,3/5/2014,4.364
372,4/5/2014,4.3348
373,5/5/2014,4.2896
374,6/5/2014,4.3882
375,7/5/2014,4.4017
376,8/5/2014,4.4946
377,9/5/2014,4.5443
378,10/5/2014,4.3889
379,11/5/2014,4.4146
380,12/5/2014,4.4067
381,13/5/2014,4.4397
382,14/5/2014,4.4725
383,15/5/2014,4.4806
384,16/5/2014,4.489
385,17/5/2014,4.4626
386,18/5/2014,4.4618
387,19/5/2014,4.857200000000001
388,20/5/2014,4.9177
389,21/5/2014,5.2458
390,22/5/2014,5.2022
391,23/5/2014,5.2514
392,24/5/2014,5.7159
393,25/5/2014,5.834199999999999
394,26/5/2014,5.7124
395,27/5/2014,5.770599999999999
396,28/5/2014,5.681799999999999
397,29/5/2014,6.153300000000001
398,30/5/2014,6.2368
399,31/5/2014,6.3023
400,1/6/2014,6.6062
401,2/6/2014,6.6761
402,3/6/2014,6.4161
403,4/6/2014,6.5926
404,5/6/2014,6.537000000000001
405,6/6/2014,6.5497000000000005
406,7/6/2014,6.5614
407,8/6/2014,6.4916
408,9/6/2014,6.531499999999999
409,10/6/2014,6.3302
410,11/6/2014,5.8695
411,12/6/2014,6.0016
412,13/6/2014,5.7736
413,14/6/2014,5.9294
414,15/6/2014,5.921900000000001
415,16/6/2014,6.1086
416,17/6/2014,6.0796
417,18/6/2014,5.980700000000001
418,19/6/2014,5.9415
419,20/6/2014,5.9499
420,21/6/2014,6.0226999999999995
421,22/6/2014,5.9398
422,23/6/2014,5.8236
423,24/6/2014,5.6634
424,25/6/2014,5.8114
425,26/6/2014,5.9726
426,27/6/2014,5.9655
427,28/6/2014,6.027200000000001
428,29/6/2014,6.398
